
# Curve 0 of 2, 500 points
# x y xlow xhigh type
 42.8617 -13.6401  42.8617  42.8617  i
 43.0601 -13.3975  43.0601  43.0601  i
 43.2585 -13.175  43.2585  43.2585  i
 43.4569 -12.9739  43.4569  43.4569  i
 43.6553 -12.7954  43.6553  43.6553  i
 43.8537 -12.6405  43.8537  43.8537  i
 44.0521 -12.5106  44.0521  44.0521  i
 44.2505 -12.4065  44.2505  44.2505  i
 44.4489 -12.3293  44.4489  44.4489  i
 44.6473 -12.28  44.6473  44.6473  i
 44.8457 -12.2593  44.8457  44.8457  i
 45.0441 -12.268  45.0441  45.0441  i
 45.2425 -12.3068  45.2425  45.2425  i
 45.4409 -12.3763  45.4409  45.4409  i
 45.6393 -12.477  45.6393  45.6393  i
 45.8377 -12.6093  45.8377  45.8377  i
 46.0361 -12.7734  46.0361  46.0361  i
 46.2345 -12.9695  46.2345  46.2345  i
 46.4329 -13.1977  46.4329  46.4329  i
 46.6313 -13.4578  46.6313  46.6313  i
 46.8297 -13.7497  46.8297  46.8297  i
 47.0281 -14.0731  47.0281  47.0281  i
 47.2265 -14.4274  47.2265  47.2265  i
 47.4248 -14.8121  47.4248  47.4248  i
 47.6232 -15.2265  47.6232  47.6232  i
 47.8216 -15.6696  47.8216  47.8216  i
 48.02 -16.1405  48.02  48.02  i
 48.2184 -16.6381  48.2184  48.2184  i
 48.4168 -17.1611  48.4168  48.4168  i
 48.6152 -17.708  48.6152  48.6152  i
 48.8136 -18.2773  48.8136  48.8136  i
 49.012 -18.8674  49.012  49.012  i
 49.2104 -19.4765  49.2104  49.2104  i
 49.4088 -20.1027  49.4088  49.4088  i
 49.6072 -20.744  49.6072  49.6072  i
 49.8056 -21.3982  49.8056  49.8056  i
 50.004 -22.0631  50.004  50.004  i
 50.2024 -22.7364  50.2024  50.2024  i
 50.4008 -23.4159  50.4008  50.4008  i
 50.5992 -24.0988  50.5992  50.5992  i
 50.7976 -24.7829  50.7976  50.7976  i
 50.996 -25.4655  50.996  50.996  i
 51.1944 -26.144  51.1944  51.1944  i
 51.3928 -26.8158  51.3928  51.3928  i
 51.5912 -27.4782  51.5912  51.5912  i
 51.7896 -28.1287  51.7896  51.7896  i
 51.988 -28.7645  51.988  51.988  i
 52.1864 -29.3832  52.1864  52.1864  i
 52.3848 -29.9821  52.3848  52.3848  i
 52.5832 -30.5588  52.5832  52.5832  i
 52.7816 -31.1108  52.7816  52.7816  i
 52.98 -31.6358  52.98  52.98  i
 53.1784 -32.1316  53.1784  53.1784  i
 53.3768 -32.596  53.3768  53.3768  i
 53.5752 -33.027  53.5752  53.5752  i
 53.7735 -33.4227  53.7735  53.7735  i
 53.9719 -33.7814  53.9719  53.9719  i
 54.1703 -34.1015  54.1703  54.1703  i
 54.3687 -34.3816  54.3687  54.3687  i
 54.5671 -34.6205  54.5671  54.5671  i
 54.7655 -34.817  54.7655  54.7655  i
 54.9639 -34.9703  54.9639  54.9639  i
 55.1623 -35.0798  55.1623  55.1623  i
 55.3607 -35.1449  55.3607  55.3607  i
 55.5591 -35.1653  55.5591  55.5591  i
 55.7575 -35.141  55.7575  55.7575  i
 55.9559 -35.0722  55.9559  55.9559  i
 56.1543 -34.959  56.1543  56.1543  i
 56.3527 -34.8022  56.3527  56.3527  i
 56.5511 -34.6022  56.5511  56.5511  i
 56.7495 -34.3602  56.7495  56.7495  i
 56.9479 -34.0772  56.9479  56.9479  i
 57.1463 -33.7545  57.1463  57.1463  i
 57.3447 -33.3935  57.3447  57.3447  i
 57.5431 -32.996  57.5431  57.5431  i
 57.7415 -32.5635  57.7415  57.7415  i
 57.9399 -32.0982  57.9399  57.9399  i
 58.1383 -31.6021  58.1383  58.1383  i
 58.3367 -31.0772  58.3367  58.3367  i
 58.5351 -30.5261  58.5351  58.5351  i
 58.7335 -29.9509  58.7335  58.7335  i
 58.9319 -29.3544  58.9319  58.9319  i
 59.1303 -28.7388  59.1303  59.1303  i
 59.3287 -28.107  59.3287  59.3287  i
 59.5271 -27.4615  59.5271  59.5271  i
 59.7255 -26.8051  59.7255  59.7255  i
 59.9238 -26.1403  59.9238  59.9238  i
 60.1222 -25.4701  60.1222  60.1222  i
 60.3206 -24.7969  60.3206  60.3206  i
 60.519 -24.1236  60.519  60.519  i
 60.7174 -23.4528  60.7174  60.7174  i
 60.9158 -22.787  60.9158  60.9158  i
 61.1142 -22.1289  61.1142  61.1142  i
 61.3126 -21.4809  61.3126  61.3126  i
 61.511 -20.8455  61.511  61.511  i
 61.7094 -20.2249  61.7094  61.7094  i
 61.9078 -19.6214  61.9078  61.9078  i
 62.1062 -19.0372  62.1062  62.1062  i
 62.3046 -18.4743  62.3046  62.3046  i
 62.503 -17.9346  62.503  62.503  i
 62.7014 -17.42  62.7014  62.7014  i
 62.8998 -16.9321  62.8998  62.8998  i
 63.0982 -16.4726  63.0982  63.0982  i
 63.2966 -16.043  63.2966  63.2966  i
 63.495 -15.6445  63.495  63.495  i
 63.6934 -15.2784  63.6934  63.6934  i
 63.8918 -14.9457  63.8918  63.8918  i
 64.0902 -14.6475  64.0902  64.0902  i
 64.2886 -14.3846  64.2886  64.2886  i
 64.487 -14.1577  64.487  64.487  i
 64.6854 -13.9675  64.6854  64.6854  i
 64.8838 -13.8142  64.8838  64.8838  i
 65.0822 -13.6985  65.0822  65.0822  i
 65.2806 -13.6204  65.2806  65.2806  i
 65.479 -13.5802  65.479  65.479  i
 65.6774 -13.5778  65.6774  65.6774  i
 65.8758 -13.6132  65.8758  65.8758  i
